State,District,Num Delegates,Climate Change,Abortion,Taxes-Government Spending,Gun Control,Healthcare,Regulation,Trade,CC,Abortion,T&GS
North Carolina, Western North Carolina ,3,-1,-1,-1,,,,,-3,-3,-3
North Carolina, Raleigh-Durham ,4,0,1,1,,,,,0,4,4
North Carolina, Charlotte ,3,-1,0,1,,,,,-3,0,3
North Carolina, The Coast ,3,-1,-1,-1,,,,,-3,-3,-3
North Dakota, At-Large ,1,-1,-1,-1,,,,,-1,-1,-1
Ohio, Toledo and the Northwest ,3,-1,-1,0,,,,,-3,-3,0
Ohio, Cleveland and the Northeast ,5,0,1,1,,,,,0,5,5
Ohio, Columbus and the Southeast ,4,-1,-1,1,,,,,-4,-4,4
Ohio, Cincinnati and Dayton ,4,-1,-1,0,,,,,-4,-4,0
Oklahoma, At-Large,5,-1,0,-1,,,,,-5,0,-5
Oregon, Portland and Salem,3,1,1,-1,,,,,3,3,-3
Oregon, Southern and Eastern Oregon,2,0,0,-1,,,,,0,0,-2
Pennsylvania, Central Pennsylvania ,4,-1,-1,-1,,,,,-4,-4,-4
Pennsylvania, Philadelphia ,6,1,1,0,,,,,6,6,0
Pennsylvania, Pittsburg ,4,0,0,1,,,,,0,0,4
Pennsylvania, Northeast Pennsylvania ,4,0,-1,0,,,,,0,-4,0
Rhode Island, At-Large ,2,1,1,1,,,,,2,2,2
South Carolina, Inland South Carolina ,4,0,-1,-1,,,,,0,-4,-4
South Carolina, Coastal South Carolina ,3,1,-1,-1,,,,,3,-3,-3
South Dakota, At-Large ,1,-1,-1,-1,,,,,-1,-1,-1
Tennessee, Central Tennessee,4,-1,-1,-1,,,,,-4,-4,-4
Tennessee, Eastern Tennessee,3,-1,-1,-1,,,,,-3,-3,-3
Tennessee, Memphis and Western Tennessee,2,-1,-1,-1,,,,,-2,-2,-2
Texas, West Texas ,5,-1,-1,-1,,,,,-5,-5,-5
Texas, South Texas ,4,0,-1,-1,,,,,0,-4,-4
Texas, East Texas ,6,-1,-1,-1,,,,,-6,-6,-6
Texas, Houston ,8,-1,1,0,,,,,-8,8,0
Texas, Dallas-Fort Worth ,8,-1,0,-1,,,,,-8,0,-8
Texas, San Antonio and Austin ,5,0,-1,-1,,,,,0,-5,-5
Utah, At-Large ,4,-1,-1,0,,,,,-4,-4,0
Vermont, At-Large ,1,1,1,1,,,,,1,1,1
Virginia, DC Suburbs ,3,1,1,1,,,,,3,3,3
Virginia, Virginia Coast ,5,0,0,-1,,,,,0,0,-5
Virginia, Western Virginia ,3,-1,-1,-1,,,,,-3,-3,-3
Washington, Seattle,5,1,1,1,,,,,5,5,5
Washington, Central Washington,3,0,1,-1,,,,,0,3,-3
Washington, Eastern Washington,2,-1,-1,-1,,,,,-2,-2,-2
West Virginia, At-Large ,3,-1,-1,1,,,,,-3,-3,3
Wisconsin, Milwaukee ,3,1,1,1,,,,,3,3,3
Wisconsin, Northern Wisconsin ,2,-1,-1,-1,,,,,-2,-2,-2
Wisconsin, Central Wisconsin ,3,-1,0,1,,,,,-3,0,3
Wyoming, At-Large ,1,-1,0,-1,,,,,-1,-1,-1
,,,,,,,,,,,,
Sum,,,,,,,,,,0,0,0
